ALL_Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_plasmid_pACNA2_1_NZ_CP021360,ALL_Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_3_NZ_CP021365,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_1_NZ_CP021363,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_2_NZ_CP021364,ALL_Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_1_NZ_CP021367,Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_3_NZ_CP021369,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_2_NZ_CP021368,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_4_NZ_CP021370,ALL_Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_plasmid_pACM6_NZ_CP029374,ALL_Acidovorax_sp_JS42_NC_008782,Acidovorax_sp_JS42_plasmid_pAOVO01_NC_008765,Acidovorax_sp_JS42_plasmid_pAOVO02_NC_008766,Acidovorax_sp_JS42_NC_008782,ALL_Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_plasmid_p3_T1_NZ_CP021651,Acidovorax_sp_T1_plasmid_p2_T1_NZ_CP021650,Acidovorax_sp_T1_plasmid_p1_T1_NZ_CP021649,Acidovorax_avenae_subsp_avenae_ATCC_19860_NC_015138,Acidovorax_avenae_subsp_avenae_NZ_CP028302,Acidovorax_avenae_subsp_avenae_strain_AA78_5_NZ_CP028287,Acidovorax_avenae_subsp_avenae_strain_AA81_1_NZ_CP028288,Acidovorax_avenae_subsp_avenae_strain_AA99_2_NZ_CP028289,Acidovorax_avenae_subsp_avenae_strain_COLB1_CP028291,Acidovorax_avenae_subsp_avenae_strain_INDB2_CP028292,Acidovorax_avenae_subsp_avenae_strain_INV_CP028293,Acidovorax_avenae_subsp_avenae_strain_KL3_NZ_CP028294,Acidovorax_avenae_subsp_avenae_strain_MD5_NZ_CP028295,Acidovorax_avenae_subsp_avenae_strain_MDB1_CP028296,Acidovorax_avenae_subsp_avenae_strain_MOR_CP028297,Acidovorax_avenae_subsp_avenae_strain_NCT3_CP028298,Acidovorax_avenae_subsp_avenae_strain_QH1_CP028299,Acidovorax_avenae_subsp_avenae_strain_QHB1_CP028300,Acidovorax_avenae_subsp_avenae_strain_SH7_NZ_CP028303,Acidovorax_avenae_subsp_avenae_strain_Sa2_CP028301,Acidovorax_carolinensis_strain_NA3_chromosome_1_NZ_CP021361,Acidovorax_cattleyae_strain_CAT98_1_NZ_CP028290,Acidovorax_citrulli_AAC00_1_NC_008752,Acidovorax_citrulli_strain_KACC17005_NZ_CP023687,Acidovorax_ebreus_TPSY_NC_011992,Acidovorax_sp_1608163_NZ_CP033069,Acidovorax_sp_HDW3_NZ_CP049885,Acidovorax_sp_KKS102_NC_018708,Acidovorax_sp_RAC01_NZ_CP016447
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS00215, ,psos,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS00455,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS02750,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS04540,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS05330,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS06935,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS06940,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS08755,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS08760,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS09360,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS09610,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS13035,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS14280,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS20255,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS20570,IS630 family transposase"," - , -"," - , -","AJS_RS00215, ,psos,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS00455,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS02750,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS04540,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS05330,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS06935,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS06940,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS08755,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS08760,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS09360,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS09610,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS13035,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS14280,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS20255,IS630 family transposase,IDENTICAL PARALOGS:,AJS_RS20570,IS630 family transposase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS00980, ,psos,N-6 DNA methylase"," - , -"," - , -","AJS_RS00980, ,psos,N-6 DNA methylase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS00985, ,psos,DNA damage-inducible protein D"," - , -"," - , -","AJS_RS00985, ,psos,DNA damage-inducible protein D"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS00990, ,psos,type III restriction endonuclease"," - , -"," - , -","AJS_RS00990, ,psos,type III restriction endonuclease"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS00995, ,psos,restriction endonuclease"," - , -"," - , -","AJS_RS00995, ,psos,restriction endonuclease"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","AJS_RS01090, ,psos,2Fe-2S iron-sulfur cluster binding domain-containing protein"," - , -"," - , -","AJS_RS01090, ,psos,2Fe-2S iron-sulfur cluster binding domain-containing protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS00075, ,psos,AAA family ATPase","C8244_RS00070, ,psos,AAA family ATPase"," - , -"," - , -","C8247_RS00055, ,psos,AAA family ATPase","C8234_00060, ,psos,transcriptional regulator","C8237_00070, ,psos,transcriptional regulator","C8239_00005, ,psos,transcriptional regulator"," - , -","C8246_RS15525, ,psos,AAA family ATPase"," - , -","C8236_00055, ,psos,transcriptional regulator"," - , -","C8248_00050, ,psos,transcriptional regulator"," - , -","C7Y68_RS00050, ,psos,AAA family ATPase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS18295, ,psos,sigma 54-interacting transcriptional regulator"," - , -","C380_RS03575, ,psos,AAA family ATPase"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS00085, ,psos,RtcB family protein","C8244_RS00080, ,psos,RtcB family protein"," - , -"," - , -","C8247_RS00065, ,psos,RtcB family protein","C8234_00070, ,psos,RNA-splicing ligase RtcB","C8237_00080, ,psos,RNA-splicing ligase RtcB","C8239_00015, ,psos,RNA-splicing ligase RtcB"," - , -","C8246_RS15515, ,psos,RtcB family protein"," - , -","C8236_00065, ,psos,RNA-splicing ligase RtcB"," - , -","C8248_00060, ,psos,RNA-splicing ligase RtcB"," - , -","C7Y68_RS00060, ,psos,RtcB family protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS18315, ,psos,RtcB family protein"," - , -","C380_RS03555, ,psos,RtcB family protein"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS00090, ,psos,nucleotidyltransferase domain-containing protein","C8244_RS00085, ,psos,nucleotidyltransferase domain-containing protein"," - , -"," - , -","C8247_RS00070, ,psos,nucleotidyltransferase domain-containing protein","C8234_00075, ,psos,nucleotidyltransferase","C8237_00085, ,psos,nucleotidyltransferase","C8239_00020, ,psos,nucleotidyltransferase"," - , -","C8246_RS15510, ,psos,nucleotidyltransferase domain-containing protein"," - , -","C8236_00070, ,psos,nucleotidyltransferase"," - , -","C8248_00065, ,psos,nucleotidyltransferase"," - , -","C7Y68_RS00065, ,psos,nucleotidyltransferase domain-containing protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS18320, ,psos,nucleotidyltransferase domain-containing protein"," - , -","C380_RS03550, ,psos,nucleotidyltransferase domain-containing protein"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS00095, ,psos,RNA 3-terminal phosphate cyclase","C8244_RS00090, ,psos,RNA 3-terminal phosphate cyclase"," - , -"," - , -","C8247_RS00075, ,psos,RNA 3-terminal phosphate cyclase","C8234_00080, ,psos,RNA 3-terminal phosphate cyclase","C8237_00090, ,psos,RNA 3-terminal phosphate cyclase","C8239_00025, ,psos,RNA 3-terminal phosphate cyclase"," - , -","C8246_RS15505, ,psos,RNA 3-terminal phosphate cyclase"," - , -","C8236_00075, ,psos,RNA 3-terminal phosphate cyclase"," - , -","C8248_00070, ,psos,RNA 3-terminal phosphate cyclase"," - , -","C7Y68_RS00070, ,psos,RNA 3-terminal phosphate cyclase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS18325, ,psos,RNA 3-terminal phosphate cyclase"," - , -","C380_RS03545, ,psos,RNA 3-terminal phosphate cyclase"," - , -"
