,ALL_Thiomonas_arsenitoxydans_strain_3As_NC_014145,ALL_Thiomonas_intermedia_K12_NC_014153,ALL_Thiomonas_intermedia_strain_ATCC_15466_NZ_CP020046,ALL_Thiomonas_sp_Bio17B3_chromosome_BIO17B3_NZ_LR131947,ALL_Thiomonas_sp_CB2_chromosome_CB2_NZ_LR131956,ALL_Thiomonas_sp_OC7_chromosome_OC7_NZ_LR131953,ALL_Thiomonas_sp_Sup16B3_chromosome_SUP16B3_NZ_LR131950,ALL_Thiomonas_sp_X19_chromosome_THIX_NZ_LT605203
THI_RS11115,1,1,1,1,1,1,1,1
TINT_RS10465,1,1,1,1,1,1,1,1
BVH73_RS02215,1,1,1,1,1,1,1,1
GO970_RS16105,1,1,1,1,1,1,1,1
GO948_RS02570,1,1,1,1,1,1,1,1
TOC7_RS16205,1,1,1,1,1,1,1,1
GO985_RS14590,1,1,1,1,1,1,1,1
THIX_RS01690,1,1,1,1,1,1,1,1
THI_RS13455,1,1,1,1,1,1,1,1
TINT_RS12625,1,1,1,1,1,1,1,1
BVH73_RS10845,1,1,1,1,1,1,1,1
GO970_RS05745,1,1,1,1,1,1,1,1
GO948_RS12855,1,1,1,1,1,1,1,1
TOC7_RS05745,1,1,1,1,1,1,1,1
GO985_RS06325,1,1,1,1,1,1,1,1
THIX_RS19720,1,1,1,1,1,1,1,1
THI_RS14960,1,1,1,1,1,1,1,1
TINT_RS13545,1,1,1,1,1,1,1,1
BVH73_RS10025,1,1,1,1,1,1,1,1
GO970_RS06645,1,1,1,1,1,1,1,1
GO948_RS11955,1,1,1,1,1,1,1,1
TOC7_RS06645,1,1,1,1,1,1,1,1
GO985_RS05425,1,1,1,1,1,1,1,1
THIX_RS01900,1,1,1,1,1,1,1,1
THI_RS17570,1,1,1,1,1,1,1,1
TINT_RS15950,1,1,1,1,1,1,1,1
BVH73_RS08215,1,1,1,1,1,1,1,1
GO970_RS09275,1,1,1,1,1,1,1,1
GO948_RS09340,1,1,1,1,1,1,1,1
TOC7_RS09290,1,1,1,1,1,1,1,1
GO985_RS02785,1,1,1,1,1,1,1,1
THIX_RS02055,1,1,1,1,1,1,1,1
THI_RS01515,1,1,1,1,1,1,1,1
TINT_RS01450,1,1,1,1,1,1,1,1
BVH73_RS05990,1,1,1,1,1,1,1,1
GO970_RS10980,1,1,1,1,1,1,1,1
GO948_RS07655,1,1,1,1,1,1,1,1
TOC7_RS11010,1,1,1,1,1,1,1,1
GO985_RS01080,1,1,1,1,1,1,1,1
THIX_RS01740,1,1,1,1,1,1,1,1
THI_RS04845,1,1,1,1,1,1,1,1
TINT_RS04130,1,1,1,1,1,1,1,1
BVH73_RS03880,1,1,1,1,1,1,1,1
GO970_RS04790,1,1,1,1,1,1,1,1
GO948_RS13815,1,1,1,1,1,1,1,1
TOC7_RS04765,1,1,1,1,1,1,1,1
GO985_RS07270,1,1,1,1,1,1,1,1
THIX_RS20185,1,1,1,1,1,1,1,1
THI_RS05100,1,1,1,1,1,1,1,1
TINT_RS04370,1,1,1,1,1,1,1,1
BVH73_RS03675,1,1,1,1,1,1,1,1
GO970_RS04545,1,1,1,1,1,1,1,1
GO948_RS14060,1,1,1,1,1,1,1,1
TOC7_RS04520,1,1,1,1,1,1,1,1
GO985_RS07515,1,1,1,1,1,1,1,1
THIX_RS19950,1,1,1,1,1,1,1,1
THI_RS00245,1,1,1,1,1,1,1,1
TINT_RS00260,1,1,1,1,1,1,1,1
BVH73_RS08770,1,1,1,1,1,1,1,1
GO970_RS09700,1,1,1,1,1,1,1,1
GO948_RS08940,1,1,1,1,1,1,1,1
TOC7_RS09710,1,1,1,1,1,1,1,1
GO985_RS02365,1,1,1,1,1,1,1,1
THIX_RS05635,1,1,1,1,1,1,1,1
THI_RS12040,1,1,1,1,1,1,1,1
TINT_RS11285,1,1,1,1,1,1,1,1
BVH73_RS12035,1,1,1,1,1,1,1,1
GO970_RS15320,1,1,1,1,1,1,1,1
GO948_RS03355,1,1,1,1,1,1,1,1
TOC7_RS15420,1,1,1,1,1,1,1,1
GO985_RS15375,1,1,1,1,1,1,1,1
THIX_RS09990,1,1,1,1,1,1,1,1
THI_RS09980,1,1,1,1,1,1,1,1
TINT_RS08800,1,1,1,1,1,1,1,1
BVH73_RS15865,1,1,1,1,1,1,1,1
GO970_RS18040,1,1,1,1,1,1,1,1
GO948_RS00630,1,1,1,1,1,1,1,1
TOC7_RS18155,1,1,1,1,1,1,1,1
GO985_RS12655,1,1,1,1,1,1,1,1
THIX_RS13625,1,1,1,1,1,1,1,1
THI_RS04905,1,1,1,1,1,1,1,1
TINT_RS04190,1,1,1,1,1,1,1,1
BVH73_RS03820,1,1,1,1,1,1,1,1
GO970_RS04730,1,1,1,1,1,1,1,1
GO948_RS13875,1,1,1,1,1,1,1,1
TOC7_RS04705,1,1,1,1,1,1,1,1
GO985_RS07330,1,1,1,1,1,1,1,1
THIX_RS03015,1,1,1,1,1,1,1,1
THI_RS10095,1,1,1,1,1,1,1,1
TINT_RS08915,1,1,1,1,1,1,1,1
BVH73_RS13395,1,1,1,1,1,1,1,1
GO970_RS17920,1,1,1,1,1,1,1,1
GO948_RS00750,1,1,1,1,1,1,1,1
TOC7_RS18035,1,1,1,1,1,1,1,1
GO985_RS12775,1,1,1,1,1,1,1,1
THIX_RS15710,1,1,1,1,1,1,1,1
THI_RS13720,1,1,1,1,1,1,1,1
TINT_RS12890,1,1,1,1,1,1,1,1
BVH73_RS10600,1,1,1,1,1,1,1,1
GO970_RS06005,1,1,1,1,1,1,1,1
GO948_RS12595,1,1,1,1,1,1,1,1
TOC7_RS06005,1,1,1,1,1,1,1,1
GO985_RS06065,1,1,1,1,1,1,1,1
THIX_RS09450,1,1,1,1,1,1,1,1
THI_RS07790,1,1,1,1,1,1,1,1
TINT_RS06890,1,1,1,1,1,1,1,1
BVH73_RS00210,1,1,1,1,1,1,1,1
GO970_RS01175,1,1,1,1,1,1,1,1
GO948_RS17415,1,1,1,1,1,1,1,1
TOC7_RS01165,1,1,1,1,1,1,1,1
GO985_RS10875,1,1,1,1,1,1,1,1
THIX_RS10580,1,1,1,1,1,1,1,1
THI_RS08560,1,1,1,1,1,1,1,1
TINT_RS07380,1,1,1,1,1,1,1,1
BVH73_RS15300,1,1,1,1,1,1,1,1
GO970_RS00565,1,1,1,1,1,1,1,1
GO948_RS18025,1,1,1,1,1,1,1,1
TOC7_RS00555,1,1,1,1,1,1,1,1
GO985_RS11480,1,1,1,1,1,1,1,1
THIX_RS17925,1,1,1,1,1,1,1,1
THI_RS09865,1,1,1,1,1,1,1,1
TINT_RS08685,1,1,1,1,1,1,1,1
BVH73_RS13630,1,1,1,1,1,1,1,1
GO970_RS18160,1,1,1,1,1,1,1,1
GO948_RS00510,1,1,1,1,1,1,1,1
TOC7_RS18275,1,1,1,1,1,1,1,1
GO985_RS12535,1,1,1,1,1,1,1,1
THIX_RS09635,1,1,1,1,1,1,1,1
THI_RS11250,1,1,1,1,1,1,1,1
TINT_RS10600,1,1,1,1,1,1,1,1
BVH73_RS02350,1,1,1,1,1,1,1,1
GO970_RS15970,1,1,1,1,1,1,1,1
GO948_RS02705,1,1,1,1,1,1,1,1
TOC7_RS16070,1,1,1,1,1,1,1,1
GO985_RS14725,1,1,1,1,1,1,1,1
THIX_RS17385,1,1,1,1,1,1,1,1
THI_RS15515,1,1,1,1,1,1,1,1
TINT_RS14075,1,1,1,1,1,1,1,1
BVH73_RS06605,1,1,1,1,1,1,1,1
GO970_RS07185,1,1,1,1,1,1,1,1
GO948_RS11415,1,1,1,1,1,1,1,1
TOC7_RS07200,1,1,1,1,1,1,1,1
GO985_RS04880,1,1,1,1,1,1,1,1
THIX_RS03615,1,1,1,1,1,1,1,1
THI_RS00715,1,1,1,1,1,1,1,1
TINT_RS00690,1,1,1,1,1,1,1,1
BVH73_RS09265,1,1,1,1,1,1,1,1
GO970_RS10060,1,1,1,1,1,1,1,1
GO948_RS08580,1,1,1,1,1,1,1,1
TOC7_RS10070,1,1,1,1,1,1,1,1
GO985_RS02005,1,1,1,1,1,1,1,1
THIX_RS02740,1,1,1,1,1,1,1,1
THI_RS13490,1,1,1,1,1,1,1,1
TINT_RS12660,1,1,1,1,1,1,1,1
BVH73_RS10810,1,1,1,1,1,1,1,1
GO970_RS05780,1,1,1,1,1,1,1,1
GO948_RS12820,1,1,1,1,1,1,1,1
TOC7_RS05780,1,1,1,1,1,1,1,1
GO985_RS06290,1,1,1,1,1,1,1,1
THIX_RS07320,1,1,1,1,1,1,1,1
THI_RS06750,1,1,1,1,1,1,1,1
TINT_RS05805,1,1,1,1,1,1,1,1
BVH73_RS00700,1,1,1,1,1,1,1,1
GO970_RS02270,1,1,1,1,1,1,1,1
GO948_RS16320,1,1,1,1,1,1,1,1
TOC7_RS02260,1,1,1,1,1,1,1,1
GO985_RS09780,1,1,1,1,1,1,1,1
THIX_RS00945,1,1,1,1,1,1,1,1
THI_RS08000,1,1,1,1,1,1,1,1
TINT_RS06955,1,1,1,1,1,1,1,1
BVH73_RS14865,1,1,1,1,1,1,1,1
GO970_RS01110,1,1,1,1,1,1,1,1
GO948_RS17480,1,1,1,1,1,1,1,1
TOC7_RS01100,1,1,1,1,1,1,1,1
GO985_RS10940,1,1,1,1,1,1,1,1
THIX_RS13195,1,1,1,1,1,1,1,1
THI_RS10210,1,1,1,1,1,1,1,1
TINT_RS09030,1,1,1,1,1,1,1,1
BVH73_RS01145,1,1,1,1,1,1,1,1
GO970_RS02755,1,1,1,1,1,1,1,1
GO948_RS15830,1,1,1,1,1,1,1,1
TOC7_RS02750,1,1,1,1,1,1,1,1
GO985_RS09290,1,1,1,1,1,1,1,1
THIX_RS14610,1,1,1,1,1,1,1,1
THI_RS11210,1,1,1,1,1,1,1,1
TINT_RS10560,1,1,1,1,1,1,1,1
BVH73_RS02310,1,1,1,1,1,1,1,1
GO970_RS16010,1,1,1,1,1,1,1,1
GO948_RS02665,1,1,1,1,1,1,1,1
TOC7_RS16110,1,1,1,1,1,1,1,1
GO985_RS14685,1,1,1,1,1,1,1,1
THIX_RS17345,1,1,1,1,1,1,1,1
THI_RS14325,1,1,1,1,1,1,1,1
TINT_RS09745,1,1,1,1,1,1,1,1
BVH73_RS02060,1,1,1,1,1,1,1,1
GO970_RS19305,1,1,1,1,1,1,1,1
GO948_RS01340,1,1,1,1,1,1,1,1
TOC7_RS17445,1,1,1,1,1,1,1,1
GO985_RS13360,1,1,1,1,1,1,1,1
THIX_RS17945,1,1,1,1,1,1,1,1
THI_RS01820,1,1,1,1,1,1,1,1
TINT_RS01780,1,1,1,1,1,1,1,1
BVH73_RS05775,1,1,1,1,1,1,1,1
GO970_RS11360,1,1,1,1,1,1,1,1
GO948_RS07270,1,1,1,1,1,1,1,1
TOC7_RS11415,1,1,1,1,1,1,1,1
GO985_RS00700,1,1,1,1,1,1,1,1
THIX_RS04760,1,1,1,1,1,1,1,1
THI_RS06385,1,1,1,1,1,1,1,1
TINT_RS05530,1,1,1,1,1,1,1,1
BVH73_RS00975,1,1,1,1,1,1,1,1
GO970_RS02555,1,1,1,1,1,1,1,1
GO948_RS16030,1,1,1,1,1,1,1,1
TOC7_RS02550,1,1,1,1,1,1,1,1
GO985_RS09490,1,1,1,1,1,1,1,1
THIX_RS19320,1,1,1,1,1,1,1,1
THI_RS13015,1,1,1,1,1,1,1,1
TINT_RS12195,1,1,1,1,1,1,1,1
BVH73_RS11145,1,1,1,1,1,1,1,1
GO970_RS14415,1,1,1,1,1,1,1,1
GO948_RS04260,1,1,1,1,1,1,1,1
TOC7_RS14515,1,1,1,1,1,1,1,1
GO985_RS16280,1,1,1,1,1,1,1,1
THIX_RS07700,1,1,1,1,1,1,1,1
THI_RS13645,1,1,1,1,1,1,1,1
TINT_RS12815,1,1,1,1,1,1,1,1
BVH73_RS10675,1,1,1,1,1,1,1,1
GO970_RS05930,1,1,1,1,1,1,1,1
