CBP33_RS13895	phosphate acyltransferase PlsX	CBP35_RS04535	phosphate acyltransferase PlsX	CBP36_RS14400	phosphate acyltransferase PlsX	APS58_RS14380	phosphate acyltransferase PlsX	AJS_RS16285	phosphate acyltransferase PlsX	CCX87_RS05155	phosphate acyltransferase PlsX	ACAV_RS05845	phosphate acyltransferase PlsX	C8244_RS05260	phosphate acyltransferase PlsX	C8241_RS05675	phosphate acyltransferase PlsX	C8245_RS00175	phosphate acyltransferase PlsX	C8247_RS04890	phosphate acyltransferase PlsX	C8234_03570	phosphate acyltransferase PlsX	C8237_04695	phosphate acyltransferase PlsX	C8239_05055	phosphate acyltransferase PlsX	C8238_RS04980	phosphate acyltransferase PlsX	C8246_RS09195	phosphate acyltransferase PlsX	C8232_02300	phosphate acyltransferase PlsX	C8236_05450	phosphate acyltransferase PlsX	C8243_04825	phosphate acyltransferase PlsX	C8248_04710	phosphate acyltransferase PlsX	C8242_04280	phosphate acyltransferase PlsX	C7Y68_RS05605	phosphate acyltransferase PlsX	C8235_04195	phosphate acyltransferase PlsX	CBP34_RS14455	phosphate acyltransferase PlsX	C8240_RS05085	phosphate acyltransferase PlsX	AAVE_RS05810	phosphate acyltransferase PlsX	CQB05_RS14930	phosphate acyltransferase PlsX	DTPSY_RS13200	phosphate acyltransferase PlsX	EAG14_RS16675	phosphate acyltransferase PlsX	G7045_RS09900	phosphate acyltransferase PlsX	C380_RS07120	phosphate acyltransferase PlsX	BSY15_RS12790	phosphate acyltransferase PlsX
CBP33_RS13690	3-isopropylmalate dehydratase small subunit	CBP35_RS04700	3-isopropylmalate dehydratase small subunit	CBP36_RS14235	3-isopropylmalate dehydratase small subunit	APS58_RS14580	3-isopropylmalate dehydratase small subunit	AJS_RS16040	3-isopropylmalate dehydratase small subunit	CCX87_RS05345	3-isopropylmalate dehydratase small subunit	ACAV_RS06050	3-isopropylmalate dehydratase small subunit	C8244_RS05465	3-isopropylmalate dehydratase small subunit	C8241_RS05895	3-isopropylmalate dehydratase small subunit	C8245_RS25525	3-isopropylmalate dehydratase small subunit	C8247_RS05095	3-isopropylmalate dehydratase small subunit	C8234_03780	3-isopropylmalate dehydratase small subunit	C8237_04905	3-isopropylmalate dehydratase small subunit	C8239_05275	3-isopropylmalate dehydratase small subunit	C8238_RS05200	3-isopropylmalate dehydratase small subunit	C8246_RS08990	3-isopropylmalate dehydratase small subunit	C8232_02515	3-isopropylmalate dehydratase small subunit	C8236_05655	3-isopropylmalate dehydratase small subunit	C8243_05040	3-isopropylmalate dehydratase small subunit	C8248_04920	3-isopropylmalate dehydratase small subunit	C8242_04490	3-isopropylmalate dehydratase small subunit	C7Y68_RS05820	3-isopropylmalate dehydratase small subunit	C8235_04400	3-isopropylmalate dehydratase small subunit	CBP34_RS14250	3-isopropylmalate dehydratase small subunit	C8240_RS05295	3-isopropylmalate dehydratase small subunit	AAVE_RS06005	3-isopropylmalate dehydratase small subunit	CQB05_RS14725	3-isopropylmalate dehydratase small subunit	DTPSY_RS12955	3-isopropylmalate dehydratase small subunit	EAG14_RS16470	3-isopropylmalate dehydratase small subunit	G7045_RS02745	3-isopropylmalate dehydratase small subunit	C380_RS07380	3-isopropylmalate dehydratase small subunit	BSY15_RS13000	3-isopropylmalate dehydratase small subunit
CBP33_RS18020	barstar family protein	CBP35_RS00650	barstar family protein	CBP36_RS18265	barstar family protein	APS58_RS08955	barstar family protein	AJS_RS20440	barstar family protein	CCX87_RS18295	barstar family protein	ACAV_RS23565	barstar family protein	C8244_RS19400	barstar family protein	C8241_RS21260	barstar family protein	C8245_RS06290	barstar family protein	C8247_RS18980	barstar family protein	C8234_15685	barnase inhibitor	C8237_19250	barnase inhibitor	C8239_18465	barnase inhibitor	C8238_RS19430	barstar family protein	C8246_RS15745	barstar family protein	C8232_13120	barnase inhibitor	C8236_19020	barnase inhibitor	C8243_18185	barnase inhibitor	C8248_18025	barnase inhibitor	C8242_17385	barnase inhibitor	C7Y68_RS21085	barstar family protein	C8235_17115	barnase inhibitor	CBP34_RS19070	barstar family protein	C8240_RS21245	barstar family protein	AAVE_RS23720	barstar family protein	CQB05_RS21035	barstar family protein	DTPSY_RS17375	barstar family protein	EAG14_RS22300	barstar family protein	G7045_RS14445	barstar family protein	C380_RS23625	barstar family protein	BSY15_RS06750	barstar family protein
CBP33_RS15755	enoyl-CoA hydratase/isomerase family protein	CBP35_RS02685	enoyl-CoA hydratase/isomerase family protein	CBP36_RS16240	enoyl-CoA hydratase/isomerase family protein	APS58_RS06770	enoyl-CoA hydratase/isomerase family protein	AJS_RS18645	enoyl-CoA hydratase/isomerase family protein	CCX87_RS03325	enoyl-CoA hydratase/isomerase family protein	ACAV_RS21075	enoyl-CoA hydratase/isomerase family protein	C8244_RS18110	enoyl-CoA hydratase/isomerase family protein	C8241_RS19205	enoyl-CoA hydratase/isomerase family protein	C8245_RS08790	enoyl-CoA hydratase/isomerase family protein	C8247_RS17590	enoyl-CoA hydratase/isomerase family protein	C8234_14455	enoyl-CoA hydratase	C8237_17155	enoyl-CoA hydratase	C8239_16650	enoyl-CoA hydratase	C8238_RS17860	enoyl-CoA hydratase/isomerase family protein	C8246_RS18220	enoyl-CoA hydratase/isomerase family protein	C8232_12075	enoyl-CoA hydratase	C8236_17600	enoyl-CoA hydratase	C8243_16985	enoyl-CoA hydratase	C8248_16560	enoyl-CoA hydratase	C8242_16615	enoyl-CoA hydratase	C7Y68_RS18960	enoyl-CoA hydratase/isomerase family protein	C8235_15235	enoyl-CoA hydratase	CBP34_RS16600	enoyl-CoA hydratase/isomerase family protein	C8240_RS19405	enoyl-CoA hydratase/isomerase family protein	AAVE_RS21640	enoyl-CoA hydratase/isomerase family protein	CQB05_RS23160	enoyl-CoA hydratase/isomerase family protein	DTPSY_RS15220	enoyl-CoA hydratase/isomerase family protein	EAG14_RS03130	enoyl-CoA hydratase/isomerase family protein	G7045_RS00750	enoyl-CoA hydratase/isomerase family protein	C380_RS20485	enoyl-CoA hydratase/isomerase family protein	BSY15_RS04270	enoyl-CoA hydratase/isomerase family protein
CBP33_RS13420	NAD(P)H-quinone oxidoreductase	CBP35_RS04975	NAD(P)H-quinone oxidoreductase	CBP36_RS13960	NAD(P)H-quinone oxidoreductase	APS58_RS14825	NAD(P)H-quinone oxidoreductase	AJS_RS04790	NAD(P)H-quinone oxidoreductase	CCX87_RS05605	NAD(P)H-quinone oxidoreductase	ACAV_RS06255	NAD(P)H-quinone oxidoreductase	C8244_RS05670	NAD(P)H-quinone oxidoreductase	C8241_RS06095	NAD(P)H-quinone oxidoreductase	C8245_RS25320	NAD(P)H-quinone oxidoreductase	C8247_RS05300	NAD(P)H-quinone oxidoreductase	C8234_03980	NAD(P)H-quinone oxidoreductase	C8237_05110	NAD(P)H-quinone oxidoreductase	C8239_05475	NAD(P)H-quinone oxidoreductase	C8238_RS05395	NAD(P)H-quinone oxidoreductase	C8246_RS08780	NAD(P)H-quinone oxidoreductase	C8232_02715	NAD(P)H-quinone oxidoreductase	C8236_05865	NAD(P)H-quinone oxidoreductase	C8243_05240	NAD(P)H-quinone oxidoreductase	C8248_05135	NAD(P)H-quinone oxidoreductase	C8242_04690	NAD(P)H-quinone oxidoreductase	C7Y68_RS06040	NAD(P)H-quinone oxidoreductase	C8235_04610	NAD(P)H-quinone oxidoreductase	CBP34_RS13980	NAD(P)H-quinone oxidoreductase	C8240_RS05495	NAD(P)H-quinone oxidoreductase	AAVE_RS06205	NAD(P)H-quinone oxidoreductase	CQB05_RS14525	NAD(P)H-quinone oxidoreductase	DTPSY_RS04315	NAD(P)H-quinone oxidoreductase	EAG14_RS04950	NAD(P)H-quinone oxidoreductase	G7045_RS02985	NAD(P)H-quinone oxidoreductase	C380_RS07545	NAD(P)H-quinone oxidoreductase	BSY15_RS13230	NAD(P)H-quinone oxidoreductase
CBP33_RS08690	translation initiation factor IF-1	CBP35_RS07280	translation initiation factor IF-1	CBP36_RS11650	translation initiation factor IF-1	APS58_RS20005	translation initiation factor IF-1	AJS_RS08355	translation initiation factor IF-1	CCX87_RS10880	translation initiation factor IF-1	ACAV_RS11580	translation initiation factor IF-1	C8244_RS09910	translation initiation factor IF-1	C8241_RS11100	translation initiation factor IF-1	C8245_RS19295	translation initiation factor IF-1	C8247_RS09870	translation initiation factor IF-1	C8234_07715	translation initiation factor IF-1	C8237_09340	translation initiation factor IF-1	C8239_09940	translation initiation factor IF-1	C8238_RS10065	translation initiation factor IF-1	C8246_RS02810	translation initiation factor IF-1	C8232_07055	translation initiation factor IF-1	C8236_09540	translation initiation factor IF-1	C8243_09705	translation initiation factor IF-1	C8248_08755	translation initiation factor IF-1	C8242_08755	translation initiation factor IF-1	C7Y68_RS11050	translation initiation factor IF-1	C8235_03730	translation initiation factor IF-1	CBP34_RS08290	translation initiation factor IF-1	C8240_RS10445	translation initiation factor IF-1	AAVE_RS14765	translation initiation factor IF-1	CQB05_RS08905	translation initiation factor IF-1	DTPSY_RS10220	translation initiation factor IF-1	EAG14_RS11770	translation initiation factor IF-1	G7045_RS05735	translation initiation factor IF-1	C380_RS13440	translation initiation factor IF-1	BSY15_RS15720	translation initiation factor IF-1
CBP33_RS13715	tRNA pseudouridine(38-40) synthase TruA	CBP35_RS04675	tRNA pseudouridine(38-40) synthase TruA	CBP36_RS14260	tRNA pseudouridine(38-40) synthase TruA	APS58_RS14555	tRNA pseudouridine(38-40) synthase TruA	AJS_RS16065	tRNA pseudouridine(38-40) synthase TruA	CCX87_RS05325	tRNA pseudouridine(38-40) synthase TruA	ACAV_RS06025	tRNA pseudouridine(38-40) synthase TruA	C8244_RS05440	tRNA pseudouridine(38-40) synthase TruA	C8241_RS05855	tRNA pseudouridine(38-40) synthase TruA	C8245_RS25550	tRNA pseudouridine(38-40) synthase TruA	C8247_RS05070	tRNA pseudouridine(38-40) synthase TruA	C8234_03750	tRNA pseudouridine(38-40) synthase TruA	C8237_04875	tRNA pseudouridine(38-40) synthase TruA	C8239_05240	tRNA pseudouridine(38-40) synthase TruA	C8238_RS05165	tRNA pseudouridine(38-40) synthase TruA	C8246_RS09015	tRNA pseudouridine(38-40) synthase TruA	C8232_02485	tRNA pseudouridine(38-40) synthase TruA	C8236_05630	tRNA pseudouridine(38-40) synthase TruA	C8243_05005	tRNA pseudouridine(38-40) synthase TruA	C8248_04890	tRNA pseudouridine(38-40) synthase TruA	C8242_04460	tRNA pseudouridine(38-40) synthase TruA	C7Y68_RS05790	tRNA pseudouridine(38-40) synthase TruA	C8235_04375	tRNA pseudouridine(38-40) synthase TruA	CBP34_RS14275	tRNA pseudouridine(38-40) synthase TruA	C8240_RS05265	tRNA pseudouridine(38-40) synthase TruA	AAVE_RS05980	tRNA pseudouridine(38-40) synthase TruA	CQB05_RS14750	tRNA pseudouridine(38-40) synthase TruA	DTPSY_RS12980	tRNA pseudouridine(38-40) synthase TruA	EAG14_RS16490	tRNA pseudouridine(38-40) synthase TruA	G7045_RS02725	tRNA pseudouridine(38-40) synthase TruA	C380_RS07360	tRNA pseudouridine(38-40) synthase TruA	BSY15_RS12975	tRNA pseudouridine(38-40) synthase TruA
CBP33_RS12780	adenylosuccinate synthase	CBP35_RS05675	adenylosuccinate synthase	CBP36_RS13255	adenylosuccinate synthase	APS58_RS15700	adenylosuccinate synthase	AJS_RS05930	adenylosuccinate synthase	CCX87_RS06225	adenylosuccinate synthase	ACAV_RS07210	adenylosuccinate synthase	C8244_RS06670	adenylosuccinate synthase	C8241_RS07065	adenylosuccinate synthase	C8245_RS24340	adenylosuccinate synthase	C8247_RS06255	adenylosuccinate synthase	C8234_04940	adenylosuccinate synthase	C8237_06095	adenylosuccinate synthase	C8239_06440	adenylosuccinate synthase	C8238_RS06335	adenylosuccinate synthase	C8246_RS07795	adenylosuccinate synthase	C8232_03690	adenylosuccinate synthase	C8236_06745	adenylosuccinate synthase	C8243_06220	adenylosuccinate synthase	C8248_06125	adenylosuccinate synthase	C8242_05675	adenylosuccinate synthase	C7Y68_RS07020	adenylosuccinate synthase	C8235_05370	adenylosuccinate synthase	CBP34_RS13325	adenylosuccinate synthase	C8240_RS06465	adenylosuccinate synthase	AAVE_RS07080	adenylosuccinate synthase	CQB05_RS13650	adenylosuccinate synthase	DTPSY_RS05480	adenylosuccinate synthase	EAG14_RS05750	adenylosuccinate synthase	G7045_RS03775	adenylosuccinate synthase	C380_RS08370	adenylosuccinate synthase	BSY15_RS13935	adenylosuccinate synthase
CBP33_RS13295	branched-chain amino acid ABC transporter permease	CBP35_RS05100	branched-chain amino acid ABC transporter permease	CBP36_RS13835	branched-chain amino acid ABC transporter permease	APS58_RS14955	branched-chain amino acid ABC transporter permease	AJS_RS15460	branched-chain amino acid ABC transporter permease	CCX87_RS05740	branched-chain amino acid ABC transporter permease	ACAV_RS06385	branched-chain amino acid ABC transporter permease	C8244_RS05800	branched-chain amino acid ABC transporter permease	C8241_RS06225	branched-chain amino acid ABC transporter permease	C8245_RS25190	branched-chain amino acid ABC transporter permease	C8247_RS05430	branched-chain amino acid ABC transporter permease	C8234_04110	branched-chain amino acid ABC transporter permease	C8237_05240	branched-chain amino acid ABC transporter permease	C8239_05605	branched-chain amino acid ABC transporter permease	C8238_RS05525	branched-chain amino acid ABC transporter permease	C8246_RS08650	branched-chain amino acid ABC transporter permease	C8232_02845	branched-chain amino acid ABC transporter permease	C8236_06245	branched-chain amino acid ABC transporter permease	C8243_05370	branched-chain amino acid ABC transporter permease	C8248_05265	branched-chain amino acid ABC transporter permease	C8242_04820	branched-chain amino acid ABC transporter permease	C7Y68_RS06170	branched-chain amino acid ABC transporter permease	C8235_04740	branched-chain amino acid ABC transporter permease	CBP34_RS13850	branched-chain amino acid ABC transporter permease	C8240_RS05625	branched-chain amino acid ABC transporter permease	AAVE_RS06340	branched-chain amino acid ABC transporter permease	CQB05_RS14395	branched-chain amino acid ABC transporter permease	DTPSY_RS12340	branched-chain amino acid ABC transporter permease	EAG14_RS16190	branched-chain amino acid ABC transporter permease	G7045_RS03140	branched-chain amino acid ABC transporter permease	C380_RS07670	branched-chain amino acid ABC transporter permease	BSY15_RS13355	branched-chain amino acid ABC transporter permease
CBP33_RS17500	malate synthase G	CBP35_RS01160	malate synthase G	CBP36_RS17755	malate synthase G	APS58_RS11260	malate synthase G	AJS_RS01700	malate synthase G	CCX87_RS17545	malate synthase G	ACAV_RS02275	malate synthase G	C8244_RS01885	malate synthase G	C8241_RS09530	malate synthase G	C8245_RS03795	malate synthase G	C8247_RS01800	malate synthase G	C8234_01030	malate synthase G	C8237_02045	malate synthase G	C8239_02335	malate synthase G	C8238_RS01880	malate synthase G	C8246_RS13255	malate synthase G	C8232_00955	malate synthase G	C8236_02230	malate synthase G	C8243_01705	malate synthase G	C8248_01510	malate synthase G	C8242_02070	malate synthase G	C7Y68_RS02250	malate synthase G	C8235_01945	malate synthase G	CBP34_RS18130	malate synthase G	C8240_RS01855	malate synthase G	AAVE_RS02010	malate synthase G	CQB05_RS18800	malate synthase G	DTPSY_RS01620	malate synthase G	EAG14_RS01675	malate synthase G	G7045_RS13220	malate synthase G	C380_RS22305	malate synthase G	BSY15_RS05550	malate synthase G
