THI_RS08350	PIN domain-containing protein	TINT_RS07170	PIN domain-containing protein	BVH73_RS15180	PIN domain-containing protein	GO970_RS00785	PIN domain-containing protein	GO948_RS17805	PIN domain-containing protein	TOC7_RS00775	PIN domain-containing protein	GO985_RS11265	PIN domain-containing protein	THIX_RS16765	PIN domain-containing protein
THI_RS11115	non-ribosomal peptide synthetase	TINT_RS10465	non-ribosomal peptide synthetase	BVH73_RS02215	non-ribosomal peptide synthetase	GO970_RS16105	amino acid adenylation domain-containing protein	GO948_RS02570	amino acid adenylation domain-containing protein	TOC7_RS16205	amino acid adenylation domain-containing protein	GO985_RS14590	amino acid adenylation domain-containing protein	THIX_RS01690	amino acid adenylation domain-containing protein
THI_RS13455	lytic transglycosylase domain-containing protein	TINT_RS12625	transglycosylase SLT domain-containing protein	BVH73_RS10845	lytic transglycosylase domain-containing protein	GO970_RS05745	transglycosylase SLT domain-containing protein	GO948_RS12855	transglycosylase SLT domain-containing protein	TOC7_RS05745	transglycosylase SLT domain-containing protein	GO985_RS06325	transglycosylase SLT domain-containing protein	THIX_RS19720	lytic transglycosylase domain-containing protein
THI_RS14960	alkaline phosphatase family protein	TINT_RS13545	alkaline phosphatase family protein	BVH73_RS10025	alkaline phosphatase family protein	GO970_RS06645	phospholipase	GO948_RS11955	phospholipase	TOC7_RS06645	phospholipase	GO985_RS05425	phospholipase	THIX_RS01900	alkaline phosphatase family protein
THI_RS17570	MFS transporter	TINT_RS15950	MFS transporter	BVH73_RS08215	MFS transporter	GO970_RS09275	MFS transporter	GO948_RS09340	MFS transporter	TOC7_RS09290	MFS transporter	GO985_RS02785	MFS transporter	THIX_RS02055	MFS transporter
THI_RS01515	ChaN family lipoprotein	TINT_RS01450	ChaN family lipoprotein	BVH73_RS05990	ChaN family lipoprotein	GO970_RS10980	hypothetical protein	GO948_RS07655	hypothetical protein	TOC7_RS11010	hypothetical protein	GO985_RS01080	hypothetical protein	THIX_RS01740	ChaN family lipoprotein
THI_RS04845	HPr family phosphocarrier protein	TINT_RS04130	HPr family phosphocarrier protein	BVH73_RS03880	HPr family phosphocarrier protein	GO970_RS04790	HPr family phosphocarrier protein	GO948_RS13815	HPr family phosphocarrier protein	TOC7_RS04765	HPr family phosphocarrier protein	GO985_RS07270	HPr family phosphocarrier protein	THIX_RS20185	HPr family phosphocarrier protein
THI_RS05100	trypsin-like serine protease	TINT_RS04370	trypsin-like serine protease	BVH73_RS03675	PDZ domain-containing protein	GO970_RS04545	trypsin-like serine protease	GO948_RS14060	trypsin-like serine protease	TOC7_RS04520	trypsin-like serine protease	GO985_RS07515	trypsin-like serine protease	THIX_RS19950	PDZ domain-containing protein
THI_RS00245	sigma 54-interacting transcriptional regulator	TINT_RS00260	response regulator	BVH73_RS08770	response regulator	GO970_RS09700	response regulator	GO948_RS08940	response regulator	TOC7_RS09710	response regulator	GO985_RS02365	response regulator	THIX_RS05635	sigma 54-interacting transcriptional regulator
THI_RS12040	NADH-quinone oxidoreductase subunit M	TINT_RS11285	NADH-quinone oxidoreductase subunit M	BVH73_RS12035	NADH-quinone oxidoreductase subunit M	GO970_RS15320	NADH-quinone oxidoreductase subunit M	GO948_RS03355	NADH-quinone oxidoreductase subunit M	TOC7_RS15420	NADH-quinone oxidoreductase subunit M	GO985_RS15375	NADH-quinone oxidoreductase subunit M	THIX_RS09990	NADH-quinone oxidoreductase subunit M
